date,season,home_team,away_team,home_goals,away_goals,stage
1/22/2025,2024-25,Celtic FC,BSC Young Boys,1,0,LEAGUE_STAGE
1/22/2025,2024-25,Feyenoord Rotterdam,FC Bayern München,3,0,LEAGUE_STAGE
1/29/2025,2024-25,Sporting Clube de Portugal,Bologna FC 1909,1,1,LEAGUE_STAGE
1/29/2025,2024-25,BSC Young Boys,FK Crvena Zvezda,0,1,LEAGUE_STAGE
1/29/2025,2024-25,Aston Villa FC,Celtic FC,4,2,LEAGUE_STAGE
1/29/2025,2024-25,Girona FC,Arsenal FC,1,2,LEAGUE_STAGE
1/29/2025,2024-25,Stade Brestois 29,Real Madrid CF,0,3,LEAGUE_STAGE
1/29/2025,2024-25,SK Sturm Graz,RB Leipzig,1,0,LEAGUE_STAGE
1/29/2025,2024-25,VfB Stuttgart,Paris Saint-Germain FC,1,4,LEAGUE_STAGE
1/29/2025,2024-25,FC Bayern München,ŠK Slovan Bratislava,3,1,LEAGUE_STAGE
1/29/2025,2024-25,Borussia Dortmund,FK Shakhtar Donetsk,3,1,LEAGUE_STAGE
1/29/2025,2024-25,FC Barcelona,Atalanta BC,2,2,LEAGUE_STAGE
1/29/2025,2024-25,FC Internazionale Milano,AS Monaco FC,3,0,LEAGUE_STAGE
1/29/2025,2024-25,Manchester City FC,Club Brugge KV,3,1,LEAGUE_STAGE
1/29/2025,2024-25,Bayer 04 Leverkusen,AC Sparta Praha,2,0,LEAGUE_STAGE
1/29/2025,2024-25,Juventus FC,Sport Lisboa e Benfica,0,2,LEAGUE_STAGE
1/29/2025,2024-25,GNK Dinamo Zagreb,AC Milan,2,1,LEAGUE_STAGE
1/29/2025,2024-25,Lille OSC,Feyenoord Rotterdam,6,1,LEAGUE_STAGE
1/29/2025,2024-25,PSV,Liverpool FC,3,2,LEAGUE_STAGE
1/29/2025,2024-25,FC Red Bull Salzburg,Club Atlético de Madrid,1,4,LEAGUE_STAGE
2/11/2025,2024-25,Stade Brestois 29,Paris Saint-Germain FC,0,3,PLAYOFFS
2/11/2025,2024-25,Manchester City FC,Real Madrid CF,2,3,PLAYOFFS
2/11/2025,2024-25,Juventus FC,PSV,2,1,PLAYOFFS
2/11/2025,2024-25,Sporting Clube de Portugal,Borussia Dortmund,0,3,PLAYOFFS
2/12/2025,2024-25,Club Brugge KV,Atalanta BC,2,1,PLAYOFFS
2/12/2025,2024-25,AS Monaco FC,Sport Lisboa e Benfica,0,1,PLAYOFFS
2/12/2025,2024-25,Celtic FC,FC Bayern München,1,2,PLAYOFFS
2/12/2025,2024-25,Feyenoord Rotterdam,AC Milan,1,0,PLAYOFFS
2/18/2025,2024-25,AC Milan,Feyenoord Rotterdam,1,1,PLAYOFFS
2/18/2025,2024-25,Sport Lisboa e Benfica,AS Monaco FC,3,3,PLAYOFFS
2/18/2025,2024-25,FC Bayern München,Celtic FC,1,1,PLAYOFFS
2/18/2025,2024-25,Atalanta BC,Club Brugge KV,1,3,PLAYOFFS
2/19/2025,2024-25,Borussia Dortmund,Sporting Clube de Portugal,0,0,PLAYOFFS
2/19/2025,2024-25,Paris Saint-Germain FC,Stade Brestois 29,7,0,PLAYOFFS
2/19/2025,2024-25,Real Madrid CF,Manchester City FC,3,1,PLAYOFFS
2/19/2025,2024-25,PSV,Juventus FC,3,1,PLAYOFFS
3/4/2025,2024-25,Club Brugge KV,Aston Villa FC,1,3,LAST_16
3/4/2025,2024-25,Real Madrid CF,Club Atlético de Madrid,2,1,LAST_16
3/4/2025,2024-25,PSV,Arsenal FC,1,7,LAST_16
3/4/2025,2024-25,Borussia Dortmund,Lille OSC,1,1,LAST_16
3/5/2025,2024-25,Feyenoord Rotterdam,FC Internazionale Milano,0,2,LAST_16
3/5/2025,2024-25,Paris Saint-Germain FC,Liverpool FC,0,1,LAST_16
3/5/2025,2024-25,FC Bayern München,Bayer 04 Leverkusen,3,0,LAST_16
3/5/2025,2024-25,Sport Lisboa e Benfica,FC Barcelona,0,1,LAST_16
3/11/2025,2024-25,FC Barcelona,Sport Lisboa e Benfica,3,1,LAST_16
3/11/2025,2024-25,Liverpool FC,Paris Saint-Germain FC,1,5,LAST_16
3/11/2025,2024-25,FC Internazionale Milano,Feyenoord Rotterdam,2,1,LAST_16
3/11/2025,2024-25,Bayer 04 Leverkusen,FC Bayern München,0,2,LAST_16
3/12/2025,2024-25,Lille OSC,Borussia Dortmund,1,2,LAST_16
3/12/2025,2024-25,Aston Villa FC,Club Brugge KV,3,0,LAST_16
3/12/2025,2024-25,Club Atlético de Madrid,Real Madrid CF,3,4,LAST_16
3/12/2025,2024-25,Arsenal FC,PSV,2,2,LAST_16
4/8/2025,2024-25,Arsenal FC,Real Madrid CF,3,0,QUARTER_FINALS
4/8/2025,2024-25,FC Bayern München,FC Internazionale Milano,1,2,QUARTER_FINALS
4/9/2025,2024-25,Paris Saint-Germain FC,Aston Villa FC,3,1,QUARTER_FINALS
4/9/2025,2024-25,FC Barcelona,Borussia Dortmund,4,0,QUARTER_FINALS
4/15/2025,2024-25,Aston Villa FC,Paris Saint-Germain FC,3,2,QUARTER_FINALS
4/15/2025,2024-25,Borussia Dortmund,FC Barcelona,3,1,QUARTER_FINALS
4/16/2025,2024-25,Real Madrid CF,Arsenal FC,1,2,QUARTER_FINALS
4/16/2025,2024-25,FC Internazionale Milano,FC Bayern München,2,2,QUARTER_FINALS
4/29/2025,2024-25,Arsenal FC,Paris Saint-Germain FC,0,1,SEMI_FINALS
4/30/2025,2024-25,FC Barcelona,FC Internazionale Milano,3,3,SEMI_FINALS
5/6/2025,2024-25,FC Internazionale Milano,FC Barcelona,4,3,SEMI_FINALS
5/7/2025,2024-25,Paris Saint-Germain FC,Arsenal FC,2,1,SEMI_FINALS
5/31/2025,2024-25,Paris Saint-Germain FC,FC Internazionale Milano,5,0,FINAL
9/16/2025,2025-26,Athletic Club,Arsenal FC,0,2,LEAGUE_STAGE
9/16/2025,2025-26,PSV,Royale Union Saint-Gilloise,1,3,LEAGUE_STAGE
9/16/2025,2025-26,Juventus FC,Borussia Dortmund,4,4,LEAGUE_STAGE
9/16/2025,2025-26,Sport Lisboa e Benfica,Qarabağ Ağdam FK,2,3,LEAGUE_STAGE
9/16/2025,2025-26,Tottenham Hotspur FC,Villarreal CF,1,0,LEAGUE_STAGE
9/16/2025,2025-26,Real Madrid CF,Olympique de Marseille,2,1,LEAGUE_STAGE
9/17/2025,2025-26,SK Slavia Praha,FK Bodø/Glimt,2,2,LEAGUE_STAGE
9/17/2025,2025-26,PAE Olympiakos SFP,Paphos FC,0,0,LEAGUE_STAGE
9/17/2025,2025-26,AFC Ajax,FC Internazionale Milano,0,2,LEAGUE_STAGE
9/17/2025,2025-26,Liverpool FC,Club Atlético de Madrid,3,2,LEAGUE_STAGE
9/17/2025,2025-26,Paris Saint-Germain FC,Atalanta BC,4,0,LEAGUE_STAGE
9/17/2025,2025-26,FC Bayern München,Chelsea FC,3,1,LEAGUE_STAGE
9/18/2025,2025-26,FC København,Bayer 04 Leverkusen,2,2,LEAGUE_STAGE
9/18/2025,2025-26,Club Brugge KV,AS Monaco FC,4,1,LEAGUE_STAGE
9/18/2025,2025-26,Newcastle United FC,FC Barcelona,1,2,LEAGUE_STAGE
9/18/2025,2025-26,Manchester City FC,SSC Napoli,2,0,LEAGUE_STAGE
9/18/2025,2025-26,Eintracht Frankfurt,Galatasaray SK,5,1,LEAGUE_STAGE
9/18/2025,2025-26,Sporting Clube de Portugal,FK Kairat,4,1,LEAGUE_STAGE
9/30/2025,2025-26,Atalanta BC,Club Brugge KV,2,1,LEAGUE_STAGE
9/30/2025,2025-26,FK Kairat,Real Madrid CF,0,5,LEAGUE_STAGE
9/30/2025,2025-26,Galatasaray SK,Liverpool FC,1,0,LEAGUE_STAGE
9/30/2025,2025-26,Club Atlético de Madrid,Eintracht Frankfurt,5,1,LEAGUE_STAGE
9/30/2025,2025-26,Olympique de Marseille,AFC Ajax,4,0,LEAGUE_STAGE
9/30/2025,2025-26,FK Bodø/Glimt,Tottenham Hotspur FC,2,2,LEAGUE_STAGE
9/30/2025,2025-26,Paphos FC,FC Bayern München,1,5,LEAGUE_STAGE
9/30/2025,2025-26,Chelsea FC,Sport Lisboa e Benfica,1,0,LEAGUE_STAGE
9/30/2025,2025-26,FC Internazionale Milano,SK Slavia Praha,3,0,LEAGUE_STAGE
10/1/2025,2025-26,Qarabağ Ağdam FK,FC København,2,0,LEAGUE_STAGE
10/1/2025,2025-26,Royale Union Saint-Gilloise,Newcastle United FC,0,4,LEAGUE_STAGE
10/1/2025,2025-26,Borussia Dortmund,Athletic Club,4,1,LEAGUE_STAGE
10/1/2025,2025-26,FC Barcelona,Paris Saint-Germain FC,1,2,LEAGUE_STAGE
10/1/2025,2025-26,AS Monaco FC,Manchester City FC,2,2,LEAGUE_STAGE
10/1/2025,2025-26,Bayer 04 Leverkusen,PSV,1,1,LEAGUE_STAGE
10/1/2025,2025-26,Arsenal FC,PAE Olympiakos SFP,2,0,LEAGUE_STAGE
10/1/2025,2025-26,Villarreal CF,Juventus FC,2,2,LEAGUE_STAGE
10/1/2025,2025-26,SSC Napoli,Sporting Clube de Portugal,2,1,LEAGUE_STAGE
10/21/2025,2025-26,FC Barcelona,PAE Olympiakos SFP,6,1,LEAGUE_STAGE
10/21/2025,2025-26,FK Kairat,Paphos FC,0,0,LEAGUE_STAGE
10/21/2025,2025-26,Royale Union Saint-Gilloise,FC Internazionale Milano,0,4,LEAGUE_STAGE
10/21/2025,2025-26,FC København,Borussia Dortmund,2,4,LEAGUE_STAGE
10/21/2025,2025-26,Bayer 04 Leverkusen,Paris Saint-Germain FC,2,7,LEAGUE_STAGE
10/21/2025,2025-26,Villarreal CF,Manchester City FC,0,2,LEAGUE_STAGE
10/21/2025,2025-26,Arsenal FC,Club Atlético de Madrid,4,0,LEAGUE_STAGE
10/21/2025,2025-26,Newcastle United FC,Sport Lisboa e Benfica,3,0,LEAGUE_STAGE
10/21/2025,2025-26,PSV,SSC Napoli,6,2,LEAGUE_STAGE
10/22/2025,2025-26,Galatasaray SK,FK Bodø/Glimt,3,1,LEAGUE_STAGE
10/22/2025,2025-26,Athletic Club,Qarabağ Ağdam FK,3,1,LEAGUE_STAGE
10/22/2025,2025-26,Eintracht Frankfurt,Liverpool FC,1,5,LEAGUE_STAGE
10/22/2025,2025-26,Atalanta BC,SK Slavia Praha,0,0,LEAGUE_STAGE
10/22/2025,2025-26,Sporting Clube de Portugal,Olympique de Marseille,2,1,LEAGUE_STAGE
10/22/2025,2025-26,AS Monaco FC,Tottenham Hotspur FC,0,0,LEAGUE_STAGE
10/22/2025,2025-26,FC Bayern München,Club Brugge KV,4,0,LEAGUE_STAGE
10/22/2025,2025-26,Chelsea FC,AFC Ajax,5,1,LEAGUE_STAGE
10/22/2025,2025-26,Real Madrid CF,Juventus FC,1,0,LEAGUE_STAGE
11/4/2025,2025-26,SK Slavia Praha,Arsenal FC,0,3,LEAGUE_STAGE
11/4/2025,2025-26,SSC Napoli,Eintracht Frankfurt,0,0,LEAGUE_STAGE
11/4/2025,2025-26,Juventus FC,Sporting Clube de Portugal,1,1,LEAGUE_STAGE
11/4/2025,2025-26,Club Atlético de Madrid,Royale Union Saint-Gilloise,3,1,LEAGUE_STAGE
11/4/2025,2025-26,Tottenham Hotspur FC,FC København,4,0,LEAGUE_STAGE
11/4/2025,2025-26,FK Bodø/Glimt,AS Monaco FC,0,1,LEAGUE_STAGE
11/4/2025,2025-26,PAE Olympiakos SFP,PSV,1,1,LEAGUE_STAGE
11/4/2025,2025-26,Paris Saint-Germain FC,FC Bayern München,1,2,LEAGUE_STAGE
11/4/2025,2025-26,Liverpool FC,Real Madrid CF,1,0,LEAGUE_STAGE
11/5/2025,2025-26,Paphos FC,Villarreal CF,1,0,LEAGUE_STAGE
11/5/2025,2025-26,Qarabağ Ağdam FK,Chelsea FC,2,2,LEAGUE_STAGE
11/5/2025,2025-26,FC Internazionale Milano,FK Kairat,2,1,LEAGUE_STAGE
11/5/2025,2025-26,Manchester City FC,Borussia Dortmund,4,1,LEAGUE_STAGE
11/5/2025,2025-26,Club Brugge KV,FC Barcelona,3,3,LEAGUE_STAGE
11/5/2025,2025-26,Sport Lisboa e Benfica,Bayer 04 Leverkusen,0,1,LEAGUE_STAGE
11/5/2025,2025-26,Olympique de Marseille,Atalanta BC,0,1,LEAGUE_STAGE
11/5/2025,2025-26,AFC Ajax,Galatasaray SK,0,3,LEAGUE_STAGE
11/5/2025,2025-26,Newcastle United FC,Athletic Club,2,0,LEAGUE_STAGE
11/25/2025,2025-26,AFC Ajax,Sport Lisboa e Benfica,0,2,LEAGUE_STAGE
11/25/2025,2025-26,Galatasaray SK,Royale Union Saint-Gilloise,0,1,LEAGUE_STAGE
11/25/2025,2025-26,Borussia Dortmund,Villarreal CF,4,0,LEAGUE_STAGE
11/25/2025,2025-26,Manchester City FC,Bayer 04 Leverkusen,0,2,LEAGUE_STAGE
11/25/2025,2025-26,FK Bodø/Glimt,Juventus FC,2,3,LEAGUE_STAGE
11/25/2025,2025-26,Olympique de Marseille,Newcastle United FC,2,1,LEAGUE_STAGE
11/25/2025,2025-26,SK Slavia Praha,Athletic Club,0,0,LEAGUE_STAGE
11/25/2025,2025-26,SSC Napoli,Qarabağ Ağdam FK,2,0,LEAGUE_STAGE
11/25/2025,2025-26,Chelsea FC,FC Barcelona,3,0,LEAGUE_STAGE
11/26/2025,2025-26,Paphos FC,AS Monaco FC,2,2,LEAGUE_STAGE
11/26/2025,2025-26,FC København,FK Kairat,3,2,LEAGUE_STAGE
11/26/2025,2025-26,Liverpool FC,PSV,1,4,LEAGUE_STAGE
11/26/2025,2025-26,Paris Saint-Germain FC,Tottenham Hotspur FC,5,3,LEAGUE_STAGE
11/26/2025,2025-26,Eintracht Frankfurt,Atalanta BC,0,3,LEAGUE_STAGE
11/26/2025,2025-26,Sporting Clube de Portugal,Club Brugge KV,3,0,LEAGUE_STAGE
11/26/2025,2025-26,Arsenal FC,FC Bayern München,3,1,LEAGUE_STAGE
11/26/2025,2025-26,PAE Olympiakos SFP,Real Madrid CF,3,4,LEAGUE_STAGE
11/26/2025,2025-26,Club Atlético de Madrid,FC Internazionale Milano,2,1,LEAGUE_STAGE
12/9/2025,2025-26,FK Kairat,PAE Olympiakos SFP,0,1,LEAGUE_STAGE
12/9/2025,2025-26,FC Bayern München,Sporting Clube de Portugal,3,1,LEAGUE_STAGE
12/9/2025,2025-26,FC Barcelona,Eintracht Frankfurt,2,1,LEAGUE_STAGE
12/9/2025,2025-26,PSV,Club Atlético de Madrid,2,3,LEAGUE_STAGE
12/9/2025,2025-26,Royale Union Saint-Gilloise,Olympique de Marseille,2,3,LEAGUE_STAGE
12/9/2025,2025-26,Tottenham Hotspur FC,SK Slavia Praha,3,0,LEAGUE_STAGE
12/9/2025,2025-26,AS Monaco FC,Galatasaray SK,1,0,LEAGUE_STAGE
12/9/2025,2025-26,Atalanta BC,Chelsea FC,2,1,LEAGUE_STAGE
12/9/2025,2025-26,FC Internazionale Milano,Liverpool FC,0,1,LEAGUE_STAGE
12/10/2025,2025-26,Villarreal CF,FC København,2,3,LEAGUE_STAGE
12/10/2025,2025-26,Qarabağ Ağdam FK,AFC Ajax,2,4,LEAGUE_STAGE
12/10/2025,2025-26,Borussia Dortmund,FK Bodø/Glimt,2,2,LEAGUE_STAGE
12/10/2025,2025-26,Athletic Club,Paris Saint-Germain FC,0,0,LEAGUE_STAGE
12/10/2025,2025-26,Bayer 04 Leverkusen,Newcastle United FC,2,2,LEAGUE_STAGE
12/10/2025,2025-26,Club Brugge KV,Arsenal FC,0,3,LEAGUE_STAGE
12/10/2025,2025-26,Sport Lisboa e Benfica,SSC Napoli,2,0,LEAGUE_STAGE
12/10/2025,2025-26,Juventus FC,Paphos FC,2,0,LEAGUE_STAGE
12/10/2025,2025-26,Real Madrid CF,Manchester City FC,1,2,LEAGUE_STAGE
1/20/2026,2025-26,FK Kairat,Club Brugge KV,1,4,LEAGUE_STAGE
1/20/2026,2025-26,FK Bodø/Glimt,Manchester City FC,3,1,LEAGUE_STAGE
1/20/2026,2025-26,Tottenham Hotspur FC,Borussia Dortmund,2,0,LEAGUE_STAGE
1/20/2026,2025-26,Sporting Clube de Portugal,Paris Saint-Germain FC,2,1,LEAGUE_STAGE
1/20/2026,2025-26,PAE Olympiakos SFP,Bayer 04 Leverkusen,2,0,LEAGUE_STAGE
1/20/2026,2025-26,Villarreal CF,AFC Ajax,1,2,LEAGUE_STAGE
1/20/2026,2025-26,FC København,SSC Napoli,1,1,LEAGUE_STAGE
1/20/2026,2025-26,Real Madrid CF,AS Monaco FC,6,1,LEAGUE_STAGE
1/20/2026,2025-26,FC Internazionale Milano,Arsenal FC,1,3,LEAGUE_STAGE
1/21/2026,2025-26,Qarabağ Ağdam FK,Eintracht Frankfurt,3,2,LEAGUE_STAGE
1/21/2026,2025-26,Galatasaray SK,Club Atlético de Madrid,1,1,LEAGUE_STAGE
1/21/2026,2025-26,Olympique de Marseille,Liverpool FC,0,3,LEAGUE_STAGE
1/21/2026,2025-26,SK Slavia Praha,FC Barcelona,2,4,LEAGUE_STAGE
1/21/2026,2025-26,Atalanta BC,Athletic Club,2,3,LEAGUE_STAGE
1/21/2026,2025-26,Juventus FC,Sport Lisboa e Benfica,2,0,LEAGUE_STAGE
1/21/2026,2025-26,Newcastle United FC,PSV,3,0,LEAGUE_STAGE
1/21/2026,2025-26,FC Bayern München,Royale Union Saint-Gilloise,2,0,LEAGUE_STAGE
1/21/2026,2025-26,Chelsea FC,Paphos FC,1,0,LEAGUE_STAGE
1/28/2026,2025-26,Liverpool FC,Qarabağ Ağdam FK,6,0,LEAGUE_STAGE
1/28/2026,2025-26,FC Barcelona,FC København,4,1,LEAGUE_STAGE
1/28/2026,2025-26,Manchester City FC,Galatasaray SK,2,0,LEAGUE_STAGE
1/28/2026,2025-26,Bayer 04 Leverkusen,Villarreal CF,3,0,LEAGUE_STAGE
1/28/2026,2025-26,Arsenal FC,FK Kairat,3,2,LEAGUE_STAGE
1/28/2026,2025-26,Royale Union Saint-Gilloise,Atalanta BC,1,0,LEAGUE_STAGE
1/28/2026,2025-26,Club Brugge KV,Olympique de Marseille,3,0,LEAGUE_STAGE
1/28/2026,2025-26,Eintracht Frankfurt,Tottenham Hotspur FC,0,2,LEAGUE_STAGE
1/28/2026,2025-26,AS Monaco FC,Juventus FC,0,0,LEAGUE_STAGE
1/28/2026,2025-26,Club Atlético de Madrid,FK Bodø/Glimt,1,2,LEAGUE_STAGE
1/28/2026,2025-26,Athletic Club,Sporting Clube de Portugal,2,3,LEAGUE_STAGE
1/28/2026,2025-26,AFC Ajax,PAE Olympiakos SFP,1,2,LEAGUE_STAGE
1/28/2026,2025-26,Paris Saint-Germain FC,Newcastle United FC,1,1,LEAGUE_STAGE
1/28/2026,2025-26,Paphos FC,SK Slavia Praha,4,1,LEAGUE_STAGE
1/28/2026,2025-26,PSV,FC Bayern München,1,2,LEAGUE_STAGE
1/28/2026,2025-26,SSC Napoli,Chelsea FC,2,3,LEAGUE_STAGE
1/28/2026,2025-26,Sport Lisboa e Benfica,Real Madrid CF,4,2,LEAGUE_STAGE
1/28/2026,2025-26,Borussia Dortmund,FC Internazionale Milano,0,2,LEAGUE_STAGE
2/17/2026,2025-26,Galatasaray SK,Juventus FC,5,2,PLAYOFFS
2/17/2026,2025-26,Sport Lisboa e Benfica,Real Madrid CF,0,1,PLAYOFFS
2/17/2026,2025-26,AS Monaco FC,Paris Saint-Germain FC,2,3,PLAYOFFS
2/17/2026,2025-26,Borussia Dortmund,Atalanta BC,2,0,PLAYOFFS
2/18/2026,2025-26,Qarabağ Ağdam FK,Newcastle United FC,1,6,PLAYOFFS
2/18/2026,2025-26,Club Brugge KV,Club Atlético de Madrid,3,3,PLAYOFFS
2/18/2026,2025-26,PAE Olympiakos SFP,Bayer 04 Leverkusen,0,2,PLAYOFFS
2/18/2026,2025-26,FK Bodø/Glimt,FC Internazionale Milano,3,1,PLAYOFFS
2/24/2026,2025-26,Club Atlético de Madrid,Club Brugge KV,4,1,PLAYOFFS
2/24/2026,2025-26,Newcastle United FC,Qarabağ Ağdam FK,3,2,PLAYOFFS
2/24/2026,2025-26,Bayer 04 Leverkusen,PAE Olympiakos SFP,0,0,PLAYOFFS
2/24/2026,2025-26,FC Internazionale Milano,FK Bodø/Glimt,1,2,PLAYOFFS
2/25/2026,2025-26,Atalanta BC,Borussia Dortmund,4,1,PLAYOFFS
2/25/2026,2025-26,Real Madrid CF,Sport Lisboa e Benfica,2,1,PLAYOFFS
2/25/2026,2025-26,Paris Saint-Germain FC,AS Monaco FC,2,2,PLAYOFFS
2/25/2026,2025-26,Juventus FC,Galatasaray SK,3,2,PLAYOFFS
3/10/2026,2025-26,Galatasaray SK,Liverpool FC,1,0,LAST_16
3/10/2026,2025-26,Atalanta BC,FC Bayern München,1,6,LAST_16
3/10/2026,2025-26,Newcastle United FC,FC Barcelona,1,1,LAST_16
3/10/2026,2025-26,Club Atlético de Madrid,Tottenham Hotspur FC,5,2,LAST_16
3/11/2026,2025-26,Bayer 04 Leverkusen,Arsenal FC,1,1,LAST_16
3/11/2026,2025-26,Paris Saint-Germain FC,Chelsea FC,5,2,LAST_16
3/11/2026,2025-26,Real Madrid CF,Manchester City FC,3,0,LAST_16
3/11/2026,2025-26,FK Bodø/Glimt,Sporting Clube de Portugal,3,0,LAST_16
3/17/2026,2025-26,Sporting Clube de Portugal,FK Bodø/Glimt,5,0,LAST_16
3/17/2026,2025-26,Chelsea FC,Paris Saint-Germain FC,0,3,LAST_16
3/17/2026,2025-26,Manchester City FC,Real Madrid CF,1,2,LAST_16
3/17/2026,2025-26,Arsenal FC,Bayer 04 Leverkusen,2,0,LAST_16
3/18/2026,2025-26,FC Barcelona,Newcastle United FC,7,2,LAST_16
3/18/2026,2025-26,Liverpool FC,Galatasaray SK,4,0,LAST_16
3/18/2026,2025-26,FC Bayern München,Atalanta BC,4,1,LAST_16
3/18/2026,2025-26,Tottenham Hotspur FC,Club Atlético de Madrid,3,2,LAST_16
4/7/2026,2025-26,Real Madrid CF,FC Bayern München,1,2,QUARTER_FINALS
4/7/2026,2025-26,Sporting Clube de Portugal,Arsenal FC,0,1,QUARTER_FINALS
4/8/2026,2025-26,Paris Saint-Germain FC,Liverpool FC,2,0,QUARTER_FINALS
4/8/2026,2025-26,FC Barcelona,Club Atlético de Madrid,0,2,QUARTER_FINALS
4/14/2026,2025-26,Liverpool FC,Paris Saint-Germain FC,0,2,QUARTER_FINALS
4/14/2026,2025-26,Club Atlético de Madrid,FC Barcelona,1,2,QUARTER_FINALS
4/15/2026,2025-26,FC Bayern München,Real Madrid CF,4,3,QUARTER_FINALS
4/15/2026,2025-26,Arsenal FC,Sporting Clube de Portugal,0,0,QUARTER_FINALS
4/28/2026,2025-26,Paris Saint-Germain FC,FC Bayern München,5,4,SEMI_FINALS
4/29/2026,2025-26,Club Atlético de Madrid,Arsenal FC,1,1,SEMI_FINALS
